0	2	0	1	1	Holy cow.  It cost me like $25 to get a couple of sweaters dry cleaned here last year.   Granted, they did a good job, and they packed them in some really nice covers, but ouch.  Check pricing before you drop off your stuff here.
0	5	0	0	0	their prices may be higher than some asian cleaners but their quality of service is excellent. it really shows they take care of their customers clothing. i have never had my shirts packed so nicely when i pick them up at other cleaners. and looking over their work i found no flaws. ...  ... you get what you pay for here. and i will continue to be their customer :)
0	1	0	0	0	I had a very bad experience with the store.  Very rude seamstress. She cost the company she works for money because my husband and I will never go there again.  If you are looking for a friendly family business, do not go to Boston cleaners on West Charleston they are expensive, rude and unfriendly.
0	5	0	0	0	I was on vacation and found this cleaners in the area. They were super friendly and the place is clean. The prices are a bit higher then other places, but they found some casino chips in my pants pocket and returned them to me when I picked up my clothes! VERY IMPRESSED!
2	4	0	0	1	Burgers, Fries and a milkshake. Life doesn't get any better. The burgers are really good and so are the fries. But what really sticks out are the milkshakes. The Oreo milkshake is my favorite and I cannot get enough. This is the place to go to satisfy that burger, fries and a milkshake craving after a hot summer day of chilling by the pool.
2	5	0	1	1	Everyone in my family was sad to see this place close down several years ago but we were all excited to see it open again on a recent trip.  Great fries, great garden burgers (most of us are vegetarian) and great milkshakes.  A recent trip to Chandler Mall included lunch at Ruby's followed by a trip later in the shopping spree to consume some milkshakes.  Not a bad way to spend the day (and 5,000 calories!).
2	4	1	2	1	I love me some diner food and this is a good place to find it.  4 stars for the diner category.  Our first visit here was for brunch.  I tried out the Carnitas Skillet.  It was good, but I discovered carnitas is not great in a scramble.  The potatoes were great.  My wife had Huevos Rancheros and was gracious enough to share with me...good stuff. ...  ... The kids had a burger & mac' n cheese.  Both were good.  The staff here was very friendly and helpful and every request for this or that was met with a "sure!". ...  ... Our waitress was very good and had this almost Amy Winehouse look going on.  I thought she was hitting on my wife as she kept referring to her as "sweetie" or "honey" or "babe" or...but by midway through the meal this had transferred to all of us.
3	3	0	0	0	3 1/2 STARS ...  ... This is Marriott's TIME-SHARE complex across from their luxury hotel. We traded a time-share for a week here in May. I must say, the place was packed - it appeared to be fully occupied. ...  ... Our room was small but just fine for us. The employees were all friendly and the grounds were kept in good shape. ...  ... We found this to be a good place to use as a base for a week's holiday while taking day-trips to the Grand Canyon, Sedona, Prescott, Scottsdale, the Phoenix Botanical Garden, and so on...
3	4	1	3	0	My friend got the time-share suite (2 bedrooms, living room, kitchen, and 2 balaconys).  SWEET!  We had a wonderful time enoying complex.  The grounds were well kept.   ...  ... The pool area was walking distance.  2 large pools (1 pool had a waterfall, volleyball, and basketball), 2 hot tub areas, 1 kiddie pool.   ...  ... Stayaction for the weekend!
3	5	0	3	0	I traded my lockout unit (Extra bedroom) from Desert Springs Marriott Villas in Palm Desert for a one bedroom, living room and dinning area and kitchen. The unit was on the third floor end unit which had a terrific view of the Wildfire Faldo golf course.  ...  ... Marriott Vacation Club is awesome. I've owned the two bedroom unit in Palm Desert location for 16 years and also a two bedroom week in Newport Beach Coast for eleven years. The program is nice BC it allows me to occupy, trade, rent, deposit outside of Marriott or trade my weeks for reward points or vacation points.  ...  ... Canyon Villas is located at the JW Marriott which is great due to you'll have all the amenities of the hotel pool, spa, hotel restaurants, and two 18 hole golf courses within minutes of your villa. If you choose to use the villa amenities  there are several pools, a fitness center, beach volleyball, and daily activities.  ...  ... I highly recommend ownership in Marriott vacation club, the program has enabled me to travel to Phuket & Bangkok Thailand, Hong Kong, Macau, Shanghai, Xian, & Beijing China, Bali & Singapore Indonesia, Ho Chi Men Vietnam, several islands in Hawaii, Paris France, Cancun, Puerta Vallarta Mexico, Boston, several cities in Florida, West Virgina, Manhattan, New Orleans, Hilton Head and Savannah. I know i'm missing some places but you get the drift.  ...  ... I've never been let down with Marriott Vacation Club locations that's why I try to stay within the Marriott family - with other timeshares you don't know what your getting. Another pointer is never buy outside the U.S. International Timeshares go under and your screwed. I had a co worker that had that happen in a resort in Mexico.
3	5	0	3	0	This is one of the nicest hotels I've ever been on. It was spacious and their bathroom alone was ginormous!!! I would definitely keep going back whenever I'm in town.
3	4	0	1	2	My roomie's father has this timeshare thingy and selected this place and invited us to fly out here. ...  ... Wow!  The Marriott Canyon Villas is one of the nicest places that I've stayed at.  We basically stayed at a huge suite with an adjoining room.  Big kitchen.  Large living room.  Furnished balconies.  Big bathroom.  Washer and dryer included.  You're bound to have a grand time here. ...  ... Except...the beds.  I found the bed to be a little too soft for my comfort.  After my second night there, I spent the rest of the week tossing and turning.  My roomie found better comfort on the couch.  I should have just slept on the floor. ...  ... Everything else was great!  The hot spa was heavenly.  The sauna was relaxing.  The gym is open 24 hours.  There were adequate games available to keep people, especially kids, busy.  There is a mini-convenience store where you can also rent DVDs.   ...  ... Canyon Villas couldn't have picked a better location than at Desert Ridge.  If you go out for a walk or a run, you can't miss this huge beautiful golf course.  In addition, you're bound to see wild quails running around.  Don't be surprised if you spot a jackrabbit here and there.  Plenty of nature sceneries here. ...  ... Friendly staff here.  Awesome place that just need to improve their beds.
3	2	2	4	1	Looking at the schedule of the resort activities upon arrival, we learned that Wednesday was a cowboy sing-along. No, I'm not shitting you. I love my family and we had a great time being with each other, but that really epitomized our opinion of this hokey old-person resort.  ...  ... If you have a timeshare somewhere like Vegas or the Poconos, this place might be worth your while to swap. For us (a family that owns our timeshare in Maui), it was quite a downward step.  ...  ... The room was smaller than our unit in Hawaii, which made little sense; it wasn't dirty, but also didn't feel as clean as other properties we've been to; a light was burned out in our room and the maintenance people neglected to fix it; and the workout room smelled like formaldehyde.  ...  ... The Marriott hotel across the way, however, is ridiculously luxurious. So if you're not bound to renting through the timeshare, you should stay over there instead. If you are bound to the timeshare, you can still use their pools, which is well worth it.
3	4	0	0	0	friendly staff, looks clean, great room amenities. their gym is right in front of the lobby with windows for all to see you sweat. no cardio machines. small snack shop w/ decent prices. bring your own spices for their kitchen.  look for luggage cart to move your things to and from car. free parking and wifi is a plus!
